Date,Open,High,Low,Close,Adj Close,Volume
1997-01-03,639.599976,652.549988,639.599976,651.830017,651.830017,0
1997-01-06,651.830017,662.030029,651.830017,656.979980,656.979980,0
1997-01-07,656.979980,663.489990,656.979980,663.489990,663.489990,0
1997-01-08,664.020020,671.599976,663.719971,664.580017,664.580017,0
1997-01-09,664.469971,672.169983,664.469971,672.169983,672.169983,0
1997-01-10,672.210022,674.929993,670.539978,670.929993,670.929993,0
1997-01-13,674.929993,678.440002,670.080017,674.380005,674.380005,0
1997-01-14,674.830017,690.500000,674.830017,688.390015,688.390015,0
1997-01-15,688.390015,691.960022,685.099976,691.729980,691.729980,0
1997-01-16,691.729980,698.039978,682.750000,686.039978,686.039978,0
1997-01-17,686.429993,687.239990,679.500000,680.979980,680.979980,0
1997-01-20,681.250000,686.559998,678.630005,686.559998,686.559998,0
1997-01-21,686.739990,693.080017,686.020020,686.609985,686.609985,0
1997-01-22,686.609985,688.530029,678.820007,679.469971,679.469971,0
1997-01-23,679.570007,683.039978,677.150024,677.289978,677.289978,0
1997-01-24,676.950012,676.950012,658.840027,661.950012,661.950012,0
1997-01-27,661.580017,661.580017,652.849976,656.510010,656.510010,0
1997-01-28,657.239990,673.609985,657.239990,666.299988,666.299988,0
1997-01-29,666.070007,677.260010,666.070007,676.890015,676.890015,0
1997-01-30,677.780029,689.210022,677.780029,689.210022,689.210022,0
1997-01-31,690.840027,694.820007,690.090027,692.510010,692.510010,0
1997-02-03,693.059998,706.219971,693.059998,706.190002,706.190002,0
1997-02-04,705.890015,709.219971,701.969971,707.510010,707.510010,0
1997-02-05,707.739990,710.729980,699.239990,699.239990,699.239990,0
1997-02-06,699.479980,700.070007,690.250000,698.099976,698.099976,0
1997-02-07,698.469971,704.950012,698.469971,702.989990,702.989990,0
1997-02-10,702.989990,707.270020,698.830017,707.159973,707.159973,0
1997-02-11,707.630005,712.380005,707.400024,708.020020,708.020020,0
1997-02-12,708.390015,718.419983,708.390015,718.419983,718.419983,0
1997-02-13,718.909973,724.690002,718.909973,724.469971,724.469971,0
1997-02-14,724.039978,726.119995,719.580017,725.489990,725.489990,0
1997-02-17,725.390015,734.190002,725.390015,734.190002,734.190002,0
1997-02-18,734.190002,734.380005,727.239990,731.820007,731.820007,0
1997-02-19,731.820007,738.729980,728.690002,729.719971,729.719971,0
1997-02-20,729.919983,730.080017,726.260010,726.760010,726.760010,0
1997-02-21,727.580017,740.859985,726.599976,740.859985,740.859985,0
1997-02-24,741.390015,759.169983,741.390015,759.169983,759.169983,0
1997-02-25,758.989990,759.729980,748.719971,752.669983,752.669983,0
1997-02-26,753.039978,753.039978,734.830017,742.359985,742.359985,0
1997-02-27,742.359985,743.080017,722.419983,724.190002,724.190002,0
1997-02-28,723.479980,723.479980,710.820007,717.650024,717.650024,0
1997-03-03,717.059998,717.359985,703.900024,716.460022,716.460022,0
1997-03-04,717.570007,730.979980,717.570007,721.000000,721.000000,0
1997-03-05,721.000000,722.429993,716.440002,721.299988,721.299988,0
1997-03-06,722.409973,725.469971,716.500000,719.820007,719.820007,0
