Date,Open,High,Low,Close,Close Adj,Volumen
"Sep 02, 2022","$20,126.07","$20,401.57","$19,814.77","$19,969.77","$19,969.77","$29,123,998,928"
"Sep 03, 2022","$19,969.72","$20,037.01","$19,698.36","$19,832.09","$19,832.09","$23,613,051,457"
"Sep 04, 2022","$19,832.47","$19,999.69","$19,636.82","$19,986.71","$19,986.71","$25,245,861,652"
"Sep 05, 2022","$19,988.79","$20,031.16","$19,673.05","$19,812.37","$19,812.37","$28,813,460,025"
"Sep 06, 2022","$19,817.72","$20,155.27","$18,800.17","$18,837.67","$18,837.67","$43,403,978,910"
"Sep 07, 2022","$18,837.68","$19,427.17","$18,644.47","$19,290.32","$19,290.32","$35,239,757,134"
"Sep 08, 2022","$19,289.94","$19,417.35","$19,076.71","$19,329.83","$19,329.83","$32,194,477,850"
"Sep 09, 2022","$19,328.14","$21,439.41","$19,310.96","$21,381.15","$21,381.15","$48,469,528,171"
